Academic Discipline,Year,Female,Male,Total
Psychology,1994,"63,047","23,855","86,902"
Psychology,1995,"66,143","25,332","91,475"
Psychology,1996,"67,032","25,375","92,407"
Psychology,1997,"69,287","24,988","94,275"
Psychology,1998,"69,094","24,641","93,735"
Psychology,1999,"69,667","23,813","93,480"
Psychology,2000,"71,719","22,760","94,479"
Psychology,2001,"73,019","22,119","95,138"
Psychology,2002,"75,267","22,680","97,947"
Psychology,2003,"77,678","22,993","100,671"
Psychology,2004,"81,499","23,710","105,209"
Psychology,2005,"85,128","24,581","109,709"
Psychology,2006,"87,437","25,461","112,898"
Psychology,2007,"90,391","26,282","116,673"
Psychology,2008,"92,401","27,277","119,678"
Psychology,2009,"96,915","28,177","125,092"
Psychology,2010,"101,493","29,575","131,068"
Psychology,2011,"103,506","30,555","134,061"
Psychology,2012,"111,632","33,287","144,919"
Psychology,2013,"117,894","35,507","153,401"
Psychology,2014,"122,088","36,446","158,534"
Psychology,2015,"122,887","35,960","158,847"
Economics,1966,"1,347","13,414","14,761"
Economics,1967,"1,555","15,101","16,656"
Economics,1968,"1,887","17,430","19,317"
Economics,1969,"2,113","19,154","21,267"
Economics,1970,"2,206","19,490","21,696"
Economics,1971,"2,255","18,230","20,485"
Economics,1972,"2,190","17,814","20,004"
Economics,1973,"2,437","17,108","19,545"
Economics,1974,"2,563","16,546","19,109"
Economics,1975,"2,909","15,747","18,656"
Economics,1976,"3,467","16,041","19,508"
Economics,1977,"4,172","16,062","20,234"
Economics,1978,"4,655","16,204","20,859"
Economics,1979,"5,322","16,154","21,476"
Economics,1980,"6,307","16,656","22,963"
Economics,1981,"6,721","17,361","24,082"
Economics,1982,"7,555","17,668","25,223"
Economics,1983,"8,034","17,947","25,981"
Economics,1984,"8,263","18,046","26,309"
Economics,1985,"8,448","18,148","26,596"
Economics,1986,"8,783","18,598","27,381"
Economics,1987,"8,893","18,932","27,825"
Economics,1988,"8,809","19,390","28,199"
Economics,1989,"8,989","19,853","28,842"
Economics,1990,"8,823","20,524","29,347"
Economics,1991,"8,557","20,338","28,895"
Economics,1992,"8,402","20,358","28,760"
Economics,1993,"7,958","19,022","26,980"
Economics,1994,"7,430","17,823","25,253"
Economics,1995,"7,082","16,132","23,214"
Economics,1996,"6,735","15,507","22,242"
Economics,1997,"6,771","15,122","21,893"
Economics,1998,"7,162","15,337","22,499"
Economics,1999,"7,360","15,473","22,833"
Economics,2000,"7,723","15,497","23,220"
Economics,2001,"8,310","15,875","24,185"
Economics,2002,"8,886","16,893","25,779"
Economics,2003,"9,692","18,452","28,144"
Economics,2004,"9,989","19,505","29,494"
Economics,2005,"10,065","20,148","30,213"
Economics,2006,"9,508","20,054","29,562"
Economics,2007,"9,475","20,234","29,709"
Economics,2008,"10,032","21,436","31,468"
Economics,2009,"10,471","22,481","32,952"
Economics,2010,"10,972","23,506","34,478"
Economics,2011,"11,507","24,313","35,820"
Economics,2012,"11,136","24,455","35,591"
Economics,2013,"11,620","24,499","36,119"
Economics,2014,"12,234","25,645","37,879"
Economics,2015,"13,231","27,538","40,769"
Political Science and Public Administration,1966,"4,185","16,138","20,323"
Political Science and Public Administration,1967,"4,853","18,310","23,163"
Political Science and Public Administration,1968,"5,490","21,085","26,575"
Political Science and Public Administration,1969,"6,103","24,213","30,316"
Political Science and Public Administration,1970,"6,324","25,987","32,311"
Political Science and Public Administration,1971,"7,438","28,494","35,932"
Political Science and Public Administration,1972,"7,840","30,802","38,642"
Political Science and Public Administration,1973,"9,682","34,419","44,101"
Political Science and Public Administration,1974,"8,384","34,037","42,421"
Political Science and Public Administration,1975,"10,116","32,600","42,716"
Political Science and Public Administration,1976,"11,741","33,125","44,866"
Political Science and Public Administration,1977,"12,650","32,024","44,674"
Political Science and Public Administration,1978,"13,891","30,313","44,204"
Political Science and Public Administration,1979,"14,877","28,678","43,555"
Political Science and Public Administration,1980,"16,158","27,497","43,655"
Political Science and Public Administration,1981,"16,527","26,754","43,281"
Political Science and Public Administration,1982,"18,245","27,161","45,406"
Political Science and Public Administration,1983,"17,987","25,782","43,769"
Political Science and Public Administration,1984,"17,990","25,525","43,515"
Political Science and Public Administration,1985,"18,503","25,511","44,014"
Political Science and Public Administration,1986,"19,018","25,906","44,924"
Political Science and Public Administration,1987,"20,079","26,160","46,239"
Political Science and Public Administration,1988,"19,631","26,548","46,179"
Political Science and Public Administration,1989,"21,798","28,487","50,285"
Political Science and Public Administration,1990,"23,214","30,276","53,490"
Political Science and Public Administration,1991,"25,108","31,313","56,421"
Political Science and Public Administration,1992,"26,877","33,406","60,283"
Political Science and Public Administration,1993,"27,653","34,085","61,738"
Political Science and Public Administration,1994,"27,424","32,878","60,302"
Political Science and Public Administration,1995,"26,649","31,138","57,787"
Political Science and Public Administration,1996,"26,814","29,652","56,466"
Political Science and Public Administration,1997,"26,263","27,879","54,142"
Political Science and Public Administration,1998,"25,471","27,111","52,582"
Political Science and Public Administration,1999,"25,910","25,559","51,469"
Political Science and Public Administration,2000,"26,683","25,453","52,136"
Political Science and Public Administration,2001,"27,093","25,194","52,287"
Political Science and Public Administration,2002,"28,512","26,102","54,614"
Political Science and Public Administration,2003,"32,328","28,907","61,235"
Political Science and Public Administration,2004,"35,679","31,314","66,993"
Political Science and Public Administration,2005,"38,844","34,088","72,932"
Political Science and Public Administration,2006,"40,247","35,743","75,990"
Political Science and Public Administration,2007,"40,980","36,737","77,717"
Political Science and Public Administration,2008,"42,556","38,003","80,559"
Political Science and Public Administration,2009,"43,024","37,860","80,884"
Political Science and Public Administration,2010,"45,913","39,184","85,097"
Political Science and Public Administration,2011,"50,129","41,791","91,920"
Political Science and Public Administration,2012,"53,376","43,076","96,452"
Political Science and Public Administration,2013,"54,581","42,946","97,527"
Political Science and Public Administration,2014,"54,651","42,383","97,034"
Political Science and Public Administration,2015,"53,019","41,107","94,126"
English and Literature,1966,"29,500","16,648","46,148"
English and Literature,1967,"32,051","18,588","50,639"
English and Literature,1968,"37,153","19,922","57,075"
English and Literature,1969,"42,104","21,983","64,087"
English and Literature,1970,"43,409","22,845","66,254"
English and Literature,1971,"49,089","27,353","76,442"
English and Literature,1972,"48,347","27,856","76,203"
English and Literature,1973,"45,696","27,270","72,966"
English and Literature,1974,"40,888","25,144","66,032"
English and Literature,1975,"36,172","22,239","58,411"
English and Literature,1976,"32,527","20,247","52,774"
English and Literature,1977,"29,318","17,920","47,238"
English and Literature,1978,"27,893","16,460","44,353"
English and Literature,1979,"26,218","15,103","41,321"
English and Literature,1980,"25,626","14,114","39,740"
English and Literature,1981,"25,299","13,646","38,945"
English and Literature,1982,"26,101","13,633","39,734"
English and Literature,1983,"24,746","12,954","37,700"
English and Literature,1984,"25,506","13,318","38,824"
English and Literature,1985,"25,748","13,407","39,155"
English and Literature,1986,"26,826","14,011","40,837"
English and Literature,1987,"27,779","14,347","42,126"
English and Literature,1988,"29,656","14,851","44,507"
English and Literature,1989,"32,555","15,982","48,537"
English and Literature,1990,"36,009","17,830","53,839"
English and Literature,1991,"39,595","19,721","59,316"
English and Literature,1992,"41,729","21,136","62,865"
English and Literature,1993,"42,564","22,137","64,701"
English and Literature,1994,"41,175","21,269","62,444"
English and Literature,1995,"39,807","20,821","60,628"
English and Literature,1996,"38,835","20,135","58,970"
English and Literature,1997,"38,139","19,469","57,608"
English and Literature,1998,"38,717","19,252","57,969"
English and Literature,1999,"39,404","19,258","58,662"
English and Literature,2000,"39,151","18,776","57,927"
English and Literature,2001,"39,381","18,181","57,562"
English and Literature,2002,"40,670","18,699","59,369"
English and Literature,2003,"41,694","18,834","60,528"
English and Literature,2004,"42,045","18,737","60,782"
English and Literature,2005,"42,458","19,338","61,796"
English and Literature,2006,"42,953","19,647","62,600"
English and Literature,2007,"43,052","19,972","63,024"
English and Literature,2008,"42,905","20,137","63,042"
English and Literature,2009,"43,175","20,523","63,698"
English and Literature,2010,"41,769","19,676","61,445"
English and Literature,2011,"41,512","19,618","61,130"
English and Literature,2012,"42,149","19,542","61,691"
English and Literature,2013,"41,444","19,178","60,622"
English and Literature,2014,"39,581","18,191","57,772"
English and Literature,2015,"36,559","16,398","52,957"
Arts and Music,1966,"14,727","12,678","27,405"
Arts and Music,1967,"17,227","14,810","32,037"
Arts and Music,1968,"19,770","16,309","36,079"
Arts and Music,1969,"23,973","19,302","43,275"
Arts and Music,1970,"26,545","22,232","48,777"
Arts and Music,1971,"23,197","17,775","40,972"
Arts and Music,1972,"26,132","20,022","46,154"
Arts and Music,1973,"27,604","20,876","48,480"
Arts and Music,1974,"30,888","22,980","53,868"
Arts and Music,1975,"32,290","22,550","54,840"
Arts and Music,1976,"33,439","23,931","57,370"
Arts and Music,1977,"34,011","23,469","57,480"
Arts and Music,1978,"35,099","22,806","57,905"
Arts and Music,1979,"35,638","22,191","57,829"
Arts and Music,1980,"36,954","22,369","59,323"
Arts and Music,1981,"37,429","22,398","59,827"
Arts and Music,1982,"36,944","21,808","58,752"
Arts and Music,1983,"34,928","22,469","57,397"
Arts and Music,1984,"35,029","22,852","57,881"
Arts and Music,1985,"33,867","22,466","56,333"
Arts and Music,1986,"33,016","21,816","54,832"
Arts and Music,1987,"34,519","22,184","56,703"
Arts and Music,1988,"34,571","22,329","56,900"
Arts and Music,1989,"34,674","22,631","57,305"
Arts and Music,1990,"36,602","23,932","60,534"
Arts and Music,1991,"38,915","24,846","63,761"
Arts and Music,1992,"44,805","28,881","73,686"
Arts and Music,1993,"45,682","29,832","75,514"
Arts and Music,1994,"46,834","31,837","78,671"
Arts and Music,1995,"45,399","31,464","76,863"
Arts and Music,1996,"45,640","33,493","79,133"
Arts and Music,1997,"45,896","33,939","79,835"
Arts and Music,1998,"48,110","35,366","83,476"
Arts and Music,1999,"50,776","37,408","88,184"
Arts and Music,2000,"53,183","39,505","92,688"
Arts and Music,2001,"56,284","40,881","97,165"
Arts and Music,2002,"61,448","44,874","106,322"
Arts and Music,2003,"66,660","46,488","113,148"
Arts and Music,2004,"72,150","49,124","121,274"
Arts and Music,2005,"74,102","49,567","123,669"
Arts and Music,2006,"76,107","50,861","126,968"
Arts and Music,2007,"80,859","52,078","132,937"
Arts and Music,2008,"81,851","51,626","133,477"
Arts and Music,2009,"81,362","52,266","133,628"
Arts and Music,2010,"84,238","54,284","138,522"
Arts and Music,2011,"87,676","57,127","144,803"
Arts and Music,2012,"91,646","60,726","152,372"
Arts and Music,2013,"91,987","60,908","152,895"
Arts and Music,2014,"90,860","60,829","151,689"
Arts and Music,2015,"90,554","60,691","151,245"
